id;date_stamp;account_balance;account_equity;account_credit;account_free_margin;account_stopout_level;open_lots;open_number_of_trades
1;2021-07-18T22:35:54;85887;39419;10223;54953;51839;90291;25544
2;2021-07-18T06:15:36;28751;95812;13089;8178;63832;65068;27468
3;2021-07-18T19:09:49;82355;47989;51315;96660;94638;1788;18572
4;2021-07-18T12:55:23;11481;77094;47192;43050;40320;25703;26203
5;2021-07-18T14:38:36;65480;69675;88118;86917;12657;70112;9666
6;2021-07-19T00:03:18;88826;99541;78673;92630;99513;96973;52554
7;2021-07-18T21:05:47;58083;17121;58459;58311;73444;75901;84388
8;2021-07-18T10:35:31;60905;75794;2727;85762;58354;5692;86110
9;2021-07-18T03:18:01;32780;98442;52030;21285;52374;58229;40500
10;2021-07-18T10:26:22;98478;29224;1194;43707;9975;73310;18845
