id;ticket;open_time;direction_type;position_size;symbol;open_price;stop_loss_price;take_profit_price;close_time;close_price;commission;taxes;swap;profit
1;29039;2021-07-18T03:58:26;BUY;33701;yellow Oklahoma Fall;71678;31072;39258;2021-07-18T18:12:33;35245;31476;42282;49609;23995
2;79446;2021-07-18T21:18:36;BUY;17800;Chief Pants yellow;99833;82194;65074;2021-07-18T23:35:20;48480;26098;46753;13865;79861
3;66580;2021-07-18T02:56:52;BUY;62044;Bridge ADP;35723;44561;41407;2021-07-18T20:11:33;94555;15033;48985;25912;37703
4;4006;2021-07-18T14:04:35;BUY;31485;visionary redefine Village;34694;91076;25737;2021-07-18T17:45:57;35451;16919;87349;227;5895
5;92211;2021-07-18T03:43:59;SELL;28776;withdrawal Kuwaiti Small;19348;56742;77524;2021-07-18T00:34:56;14634;261;94476;97908;74421
6;83592;2021-07-18T02:44:37;SELL;83988;copy;67476;85974;66028;2021-07-18T14:40:27;40075;90235;59923;26905;56745
7;30878;2021-07-18T13:16:38;BUY;75169;engineer Distributed feed;18810;61729;13477;2021-07-18T04:17:56;15496;97919;29670;72462;53933
8;22891;2021-07-18T12:03:20;SELL;76335;monetize Dollar Virtual;47901;10343;47011;2021-07-18T19:34:55;41656;49754;13885;28952;95876
9;23699;2021-07-18T20:20:00;SELL;65538;bifurcated;5332;7945;42337;2021-07-18T02:16:51;12332;63441;38431;7707;82039
10;48251;2021-07-18T23:48:34;BUY;10968;haptic hard;32105;85076;42000;2021-07-18T20:49:36;38666;35273;27109;33365;42371
