id;account_name;user_picture;user_picture_content_type;user_bio;in_active;in_active_date
1;Money Market Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;false;2021-07-18T08:28:52
2;Investment Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;true;2021-07-18T18:27:23
3;Investment Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;true;2021-07-18T22:20:47
4;Savings Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;false;2021-07-18T09:18:36
5;Money Market Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;true;2021-07-18T15:48:20
6;Savings Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;true;2021-07-18T13:49:03
7;Checking Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;false;2021-07-18T22:09:19
8;Money Market Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;true;2021-07-18T13:00:05
9;Credit Card Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;true;2021-07-18T13:15:05
10;Auto Loan Account;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.txt;true;2021-07-18T08:01:55
