id;trade_challenge_name;start_date;running_max_total_drawdown;running_max_daily_drawdown;rules_violated;rule_violated;rule_violated_date;max_total_drawdown;max_daily_drawdown;last_daily_reset_date;end_date
1;Licensed Rustic capacitor;2021-07-18T22:36:39;73449;39658;true;Metal Persistent;2021-07-18T21:22:18;94499;93824;2021-07-18T06:51:10;2021-07-18T12:05:00
2;generating;2021-07-18T09:42:33;13576;37419;true;Technician;2021-07-18T12:14:45;32669;84998;2021-07-18T22:18:36;2021-07-18T10:30:01
3;orchid;2021-07-18T12:57:45;7053;65493;true;deliverables Licensed Intelligent;2021-07-18T08:23:38;86797;45355;2021-07-18T22:01:38;2021-07-18T02:13:50
4;PNG optical e-tailers;2021-07-18T02:44:15;72336;89276;false;primary Sausages Accountability;2021-07-18T00:27:14;81129;91146;2021-07-18T07:48:19;2021-07-18T11:19:13
5;Bedfordshire;2021-07-18T03:27:13;43878;81990;false;connect;2021-07-18T15:48:37;67110;72062;2021-07-18T02:13:42;2021-07-18T12:57:52
6;International payment;2021-07-18T12:27:49;99507;18558;true;Technician Investment technologies;2021-07-18T14:15:28;69826;60977;2021-07-18T21:39:53;2021-07-18T15:32:43
7;Future;2021-07-18T20:04:13;38092;59976;true;24/7 deposit;2021-07-18T13:58:25;20516;8283;2021-07-18T03:18:59;2021-07-18T18:21:25
8;capacity Regional invoice;2021-07-18T15:41:25;58420;48052;false;eyeballs;2021-07-18T10:37:08;93714;24545;2021-07-18T00:24:21;2021-07-18T08:42:34
9;bypassing program Martinique;2021-07-18T12:28:07;98514;27152;false;payment;2021-07-18T11:29:50;11891;52537;2021-07-18T14:34:18;2021-07-18T11:44:58
10;copying intangible success;2021-07-18T08:51:10;9203;58709;false;Pines Metal;2021-07-18T00:47:51;45272;95301;2021-07-18T07:54:28;2021-07-18T19:10:19
