id;post_title;date_added;thoughts_on_psychology;thoughts_on_trade_process_accuracy;thoughts_on_areas_of_strength;thoughts_on_areas_for_improvement;area_of_focus_for_tomorrow;make_public_visible_on_site;any_media;any_media_content_type;any_image;any_image_content_type
1;bus;2021-07-18T10:05:03;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;Lights invoice;2021-07-18T16:02:17;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;Borders;2021-07-18T17:25:07;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;e-commerce;2021-07-18T20:39:06;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;Lebanon recontextualize Movies;2021-07-18T18:44:05;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;Plastic York Cambridgeshire;2021-07-18T23:06:39;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;Plastic Baby;2021-07-18T12:12:30;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;transmitting Salad neural;2021-07-18T09:18:39;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;iterate Metal;2021-07-18T11:30:09;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;invoice Handmade;2021-07-18T02:41:19;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
