id;comment_title;comment_body;comment_media;comment_media_content_type;date_added;make_public_visible_on_site
1;Won Practical AGP;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-07-18T07:41:41;true
2;Plastic Buckinghamshire;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-07-18T22:05:49;true
3;Plastic Salad;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-07-18T06:41:19;true
4;HDD neural;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-07-18T17:05:24;false
5;Kenya Fresh Computers;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-07-18T19:07:20;false
6;FTP;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-07-18T21:29:15;false
7;enhance;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-07-18T03:06:19;false
8;Specialist Tennessee RAM;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-07-18T09:16:27;false
9;IB Street grey;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-07-18T23:13:34;false
10;one-to-one Philippine;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.png;image/png;2021-07-18T16:33:39;false
